,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.6666666666666666,1.0,0.09090909090909091,0.16666666666666666,0.6854066985645932
Random Forest,0.6333333333333333,0.5,0.18181818181818182,0.26666666666666666,0.605263157894737
Gradient Boosting,0.6,0.4,0.18181818181818182,0.25,0.6076555023923446
SVM (RBF),0.6333333333333333,0.5,0.045454545454545456,0.08333333333333333,0.2882775119617225
Decision Tree,0.5,0.35714285714285715,0.45454545454545453,0.4,0.49043062200956944
AdaBoost,0.65,0.6,0.13636363636363635,0.2222222222222222,0.6626794258373206
Naive Bayes,0.6333333333333333,0.5,0.045454545454545456,0.08333333333333333,0.6913875598086124
K-Nearest Neighbors,0.5666666666666667,0.35714285714285715,0.22727272727272727,0.2777777777777778,0.5107655502392344
